Date,Price,RSI,STATUS
12-16-2022,94.18,47.42,HOLD
12-15-2022,96.36,52.10,HOLD
12-14-2022,100.64,63.53,HOLD
12-13-2022,100.15,62.66,HOLD
12-12-2022,99.40,61.35,HOLD
12-09-2022,97.24,57.34,HOLD
12-08-2022,99.73,64.50,HOLD
12-07-2022,98.06,61.51,HOLD
12-06-2022,96.48,58.43,HOLD
12-05-2022,98.24,63.70,HOLD
12-02-2022,100.40,71.00,SELL
12-01-2022,99.78,70.09,SELL
11-30-2022,98.79,68.62,HOLD
11-29-2022,94.30,60.46,HOLD
11-28-2022,94.79,62.10,HOLD
11-25-2022,96.18,66.87,HOLD
11-23-2022,95.20,65.11,HOLD
11-22-2022,94.34,63.54,HOLD
11-21-2022,92.93,60.85,HOLD
11-18-2022,92.76,60.53,HOLD
11-17-2022,90.58,56.19,HOLD
11-16-2022,90.91,57.07,HOLD
11-15-2022,91.27,57.99,HOLD
11-14-2022,91.51,58.58,HOLD
11-11-2022,91.31,58.25,HOLD
11-10-2022,93.54,63.43,HOLD
11-09-2022,88.56,55.17,HOLD
11-08-2022,90.71,60.66,HOLD
11-07-2022,89.85,59.15,HOLD
11-04-2022,88.06,55.88,HOLD
11-03-2022,87.06,53.96,HOLD
11-02-2022,88.23,56.63,HOLD
11-01-2022,91.20,64.10,HOLD
10-31-2022,91.10,63.95,HOLD
10-28-2022,90.94,63.73,HOLD
10-27-2022,88.33,59.98,HOLD
10-26-2022,89.43,62.51,HOLD
10-25-2022,87.30,59.43,HOLD
10-24-2022,85.66,56.90,HOLD
10-21-2022,82.81,52.07,HOLD
10-20-2022,79.61,45.74,HOLD
10-19-2022,80.79,47.91,HOLD
10-18-2022,83.54,53.38,HOLD
10-17-2022,82.54,51.51,HOLD
10-14-2022,79.63,45.62,HOLD
10-13-2022,81.32,48.82,HOLD
10-12-2022,77.81,40.81,HOLD
10-11-2022,78.37,41.77,HOLD
10-10-2022,77.69,40.17,HOLD
10-07-2022,78.66,41.69,HOLD
10-06-2022,82.36,48.14,HOLD
10-05-2022,84.25,51.95,HOLD
10-04-2022,83.94,51.36,HOLD
10-03-2022,80.17,43.59,HOLD
09-30-2022,77.16,36.01,HOLD
09-29-2022,79.32,39.55,HOLD
09-28-2022,80.78,42.15,HOLD
09-27-2022,77.17,31.86,HOLD
09-26-2022,77.74,32.71,HOLD
09-23-2022,78.93,34.50,HOLD
09-22-2022,80.15,36.40,HOLD
09-21-2022,79.71,35.21,HOLD
09-20-2022,82.40,39.41,HOLD
09-19-2022,84.48,43.10,HOLD
09-16-2022,85.50,45.02,HOLD
09-15-2022,86.21,46.35,HOLD
09-14-2022,85.23,44.23,HOLD
09-13-2022,85.08,43.92,HOLD
09-12-2022,91.29,56.09,HOLD
