Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,148.10,55.60,HOLD,0.00,0.00,0.00
08-22-2022,149.13,58.23,HOLD,0.00,0.00,0.00
08-19-2022,148.87,57.76,HOLD,0.00,0.00,0.00
08-18-2022,148.71,57.49,HOLD,0.00,0.00,0.00
08-17-2022,148.64,57.38,HOLD,0.00,0.00,0.00
08-16-2022,149.74,59.67,HOLD,0.00,0.00,0.00
08-15-2022,148.83,58.39,HOLD,0.00,0.00,0.00
08-12-2022,146.37,54.81,HOLD,0.00,0.00,0.00
08-11-2022,144.61,52.07,HOLD,0.00,0.00,0.00
08-10-2022,145.09,52.89,HOLD,0.00,0.00,0.00
08-09-2022,143.41,50.37,HOLD,0.00,0.00,0.00
08-08-2022,144.58,52.17,HOLD,0.00,0.00,0.00
08-05-2022,138.99,43.16,HOLD,0.00,0.00,0.00
08-04-2022,137.76,40.88,HOLD,0.00,0.00,0.00
08-03-2022,144.57,51.48,HOLD,0.00,0.00,0.00
08-02-2022,143.79,50.11,HOLD,0.00,0.00,0.00
08-01-2022,145.29,52.78,HOLD,0.00,0.00,0.00
07-29-2022,141.84,46.71,HOLD,0.00,0.00,0.00
07-28-2022,144.67,51.78,HOLD,0.00,0.00,0.00
07-27-2022,142.28,47.29,HOLD,0.00,0.00,0.00
07-26-2022,145.24,52.96,HOLD,0.00,0.00,0.00
07-25-2022,147.77,58.53,HOLD,0.00,0.00,0.00
07-22-2022,147.85,58.71,HOLD,0.00,0.00,0.00
07-21-2022,147.95,58.92,HOLD,0.00,0.00,0.00
07-20-2022,147.80,58.72,HOLD,0.00,0.00,0.00
07-19-2022,149.72,62.47,HOLD,0.00,0.00,0.00
07-18-2022,145.73,57.19,HOLD,0.00,0.00,0.00
07-15-2022,148.67,63.27,HOLD,0.00,0.00,0.00
07-14-2022,147.52,61.80,HOLD,0.00,0.00,0.00
07-13-2022,147.60,61.96,HOLD,0.00,0.00,0.00
07-12-2022,143.89,57.16,HOLD,0.00,0.00,0.00
07-11-2022,141.80,54.12,HOLD,0.00,0.00,0.00
07-08-2022,141.36,53.48,HOLD,0.00,0.00,0.00
07-07-2022,145.44,60.82,HOLD,0.00,0.00,0.00
07-06-2022,146.66,63.24,HOLD,0.00,0.00,0.00
07-05-2022,144.75,60.99,HOLD,0.00,0.00,0.00
07-01-2022,143.90,59.98,HOLD,0.00,0.00,0.00
06-30-2022,140.98,56.37,HOLD,0.00,0.00,0.00
06-29-2022,139.54,54.49,HOLD,0.00,0.00,0.00
06-28-2022,136.94,50.95,HOLD,0.00,0.00,0.00
06-27-2022,138.27,52.90,HOLD,0.00,0.00,0.00
06-24-2022,140.75,56.67,HOLD,0.00,0.00,0.00
06-23-2022,140.11,55.92,HOLD,0.00,0.00,0.00
06-22-2022,132.14,44.85,HOLD,0.00,0.00,0.00
06-21-2022,125.62,31.86,HOLD,0.00,0.00,0.00
06-17-2022,122.72,24.52,HOLD,0.00,0.00,0.00
06-16-2022,122.57,24.13,HOLD,0.00,0.00,0.00
06-15-2022,123.13,24.57,HOLD,0.00,0.00,0.00
06-14-2022,124.64,25.76,HOLD,0.00,0.00,0.00
06-13-2022,128.88,29.46,HOLD,0.00,0.00,0.00
06-10-2022,131.10,31.67,HOLD,0.00,0.00,0.00
06-09-2022,132.09,32.69,HOLD,0.00,0.00,0.00
06-08-2022,134.33,35.06,HOLD,0.00,0.00,0.00
06-07-2022,134.28,34.96,HOLD,0.00,0.00,0.00
06-06-2022,137.04,37.88,HOLD,0.00,0.00,0.00
06-03-2022,138.88,39.94,HOLD,0.00,0.00,0.00
06-02-2022,141.32,42.81,HOLD,0.00,0.00,0.00
06-01-2022,140.70,41.82,HOLD,0.00,0.00,0.00
05-31-2022,145.36,47.55,HOLD,0.00,0.00,0.00
05-27-2022,148.71,52.33,HOLD,0.00,0.00,0.00
05-26-2022,146.40,49.05,HOLD,0.00,0.00,0.00
05-25-2022,142.09,42.15,HOLD,0.00,0.00,0.00
05-24-2022,141.60,41.31,HOLD,0.00,0.00,0.00
05-23-2022,139.59,37.88,HOLD,0.00,0.00,0.00
05-20-2022,138.30,35.64,HOLD,0.00,0.00,0.00
05-19-2022,138.15,35.38,HOLD,0.00,0.00,0.00
05-18-2022,145.83,43.47,HOLD,0.00,0.00,0.00
05-17-2022,156.75,62.26,HOLD,0.00,0.00,0.00
05-16-2022,157.09,63.05,HOLD,0.00,0.00,0.00
05-13-2022,158.28,65.76,HOLD,0.00,0.00,0.00
05-12-2022,157.03,64.26,HOLD,0.00,0.00,0.00
05-11-2022,154.86,61.56,HOLD,0.00,0.00,0.00
05-10-2022,156.23,64.42,HOLD,0.00,0.00,0.00
05-09-2022,157.43,66.94,HOLD,0.00,0.00,0.00
05-06-2022,153.94,63.02,HOLD,0.00,0.00,0.00
05-05-2022,148.27,54.97,HOLD,0.00,0.00,0.00
05-04-2022,149.63,57.77,HOLD,0.00,0.00,0.00
05-03-2022,147.56,54.49,HOLD,0.00,0.00,0.00
05-02-2022,143.28,46.51,HOLD,0.00,0.00,0.00
04-29-2022,143.47,46.85,HOLD,0.00,0.00,0.00
04-28-2022,148.34,56.67,HOLD,0.00,0.00,0.00
04-27-2022,147.71,55.55,HOLD,0.00,0.00,0.00
04-26-2022,146.27,52.97,HOLD,0.00,0.00,0.00
04-25-2022,152.29,68.36,HOLD,0.00,0.00,0.00
04-22-2022,150.65,65.85,HOLD,0.00,0.00,0.00
04-21-2022,148.15,61.53,HOLD,0.00,0.00,0.00
04-20-2022,146.20,57.65,HOLD,0.00,0.00,0.00
04-19-2022,145.31,55.76,HOLD,0.00,0.00,0.00
04-18-2022,143.52,51.73,HOLD,0.00,0.00,0.00
04-14-2022,145.57,57.27,HOLD,0.00,0.00,0.00
04-13-2022,145.39,56.90,HOLD,0.00,0.00,0.00
04-12-2022,146.45,59.78,HOLD,0.00,0.00,0.00
04-11-2022,147.75,63.43,HOLD,0.00,0.00,0.00
04-08-2022,146.50,61.32,HOLD,0.00,0.00,0.00
04-07-2022,146.16,60.75,HOLD,0.00,0.00,0.00
04-06-2022,143.92,56.84,HOLD,0.00,0.00,0.00
04-05-2022,144.20,57.50,HOLD,0.00,0.00,0.00
04-04-2022,145.00,59.34,HOLD,0.00,0.00,0.00
04-01-2022,142.83,55.77,HOLD,0.00,0.00,0.00
03-31-2022,139.03,48.41,HOLD,0.00,0.00,0.00
03-30-2022,139.50,49.35,HOLD,0.00,0.00,0.00
03-29-2022,139.69,49.72,HOLD,0.00,0.00,0.00
03-28-2022,138.63,47.72,HOLD,0.00,0.00,0.00
03-25-2022,136.46,43.45,HOLD,0.00,0.00,0.00
03-24-2022,134.10,38.37,HOLD,0.00,0.00,0.00
03-23-2022,135.79,40.81,HOLD,0.00,0.00,0.00
03-22-2022,136.14,41.31,HOLD,0.00,0.00,0.00
03-21-2022,133.88,36.61,HOLD,0.00,0.00,0.00
03-18-2022,133.83,36.51,HOLD,0.00,0.00,0.00
03-17-2022,132.83,34.50,HOLD,0.00,0.00,0.00
03-16-2022,131.56,31.97,HOLD,0.00,0.00,0.00
03-15-2022,130.63,30.13,HOLD,0.00,0.00,0.00
03-14-2022,127.62,23.95,HOLD,0.00,0.00,0.00
03-11-2022,130.16,25.74,HOLD,0.00,0.00,0.00
03-10-2022,133.45,28.27,HOLD,0.00,0.00,0.00
03-09-2022,137.27,31.62,HOLD,0.00,0.00,0.00
03-08-2022,138.44,32.72,HOLD,0.00,0.00,0.00
03-07-2022,145.49,40.66,HOLD,0.00,0.00,0.00
03-04-2022,144.74,39.20,HOLD,0.00,0.00,0.00
