Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,54.21,49.42,HOLD,2.21,2.32,2023
01-09-2023,53.04,46.92,HOLD,-4.76,0.11,2023
01-06-2023,55.69,52.37,HOLD,-0.27,5.12,2023
01-05-2023,55.84,52.69,HOLD,0.31,5.40,2023
01-04-2023,55.67,52.38,HOLD,5.08,5.08,2023
01-03-2023,52.98,47.35,HOLD,1.83,0.00,2023
12-30-2022,52.03,45.46,HOLD,-1.48,,2022
12-29-2022,52.81,46.74,HOLD,7.95,,2022
12-28-2022,48.92,38.76,HOLD,-2.65,,2022
12-27-2022,50.25,40.70,HOLD,0.66,,2022
12-23-2022,49.92,40.01,HOLD,-0.62,,2022
12-22-2022,50.23,40.42,HOLD,-4.21,,2022
12-21-2022,52.44,43.36,HOLD,2.78,,2022
12-20-2022,51.02,40.79,HOLD,-3.77,,2022
12-19-2022,53.02,43.36,HOLD,-1.25,,2022
12-16-2022,53.69,44.23,HOLD,-12.06,,2022
12-15-2022,61.05,55.60,HOLD,-6.05,,2022
12-14-2022,64.98,63.71,HOLD,2.30,,2022
12-13-2022,63.52,61.79,HOLD,2.01,,2022
12-12-2022,62.27,60.10,HOLD,2.67,,2022
12-09-2022,60.65,57.87,HOLD,-0.70,,2022
12-08-2022,61.08,58.68,HOLD,5.13,,2022
12-07-2022,58.10,54.60,HOLD,-2.78,,2022
12-06-2022,59.76,57.54,HOLD,1.25,,2022
12-05-2022,59.02,56.57,HOLD,-3.84,,2022
12-02-2022,61.38,60.67,HOLD,0.38,,2022
12-01-2022,61.15,60.41,HOLD,4.76,,2022
11-30-2022,58.37,57.24,HOLD,7.57,,2022
11-29-2022,54.26,51.97,HOLD,1.52,,2022
11-28-2022,53.45,50.86,HOLD,-1.60,,2022
11-25-2022,54.32,52.06,HOLD,-2.35,,2022
11-23-2022,55.63,53.84,HOLD,3.88,,2022
11-22-2022,53.55,51.39,HOLD,-1.00,,2022
11-21-2022,54.09,52.06,HOLD,-5.01,,2022
11-18-2022,56.94,55.58,HOLD,-4.99,,2022
11-17-2022,59.93,59.49,HOLD,1.99,,2022
11-16-2022,58.76,58.43,HOLD,-5.70,,2022
11-15-2022,62.31,63.10,HOLD,36.05,,2022
11-14-2022,45.80,43.63,HOLD,-7.34,,2022
11-11-2022,49.43,48.90,HOLD,7.48,,2022
11-10-2022,45.99,42.82,HOLD,12.39,,2022
11-09-2022,40.92,31.70,HOLD,-13.05,,2022
11-08-2022,47.06,40.57,HOLD,-2.91,,2022
11-07-2022,48.47,43.15,HOLD,10.13,,2022
11-04-2022,44.01,30.13,HOLD,-3.99,,2022
11-03-2022,45.84,33.01,HOLD,-3.03,,2022
11-02-2022,47.27,35.47,HOLD,-3.75,,2022
11-01-2022,49.11,38.93,HOLD,-1.15,,2022
10-31-2022,49.68,40.06,HOLD,0.28,,2022
10-28-2022,49.54,39.66,HOLD,-0.10,,2022
10-27-2022,49.59,39.75,HOLD,-2.05,,2022
10-26-2022,50.63,41.52,HOLD,1.24,,2022
