Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,46.94,53.31,HOLD,0.00,0.00,0.00
08-22-2022,46.84,52.81,HOLD,0.00,0.00,0.00
08-19-2022,47.67,57.48,HOLD,0.00,0.00,0.00
08-18-2022,48.94,65.72,HOLD,0.00,0.00,0.00
08-17-2022,47.83,61.20,HOLD,0.00,0.00,0.00
08-16-2022,48.59,66.80,HOLD,0.00,0.00,0.00
08-15-2022,48.30,65.68,HOLD,0.00,0.00,0.00
08-12-2022,48.22,65.39,HOLD,0.00,0.00,0.00
08-11-2022,47.60,63.09,HOLD,0.00,0.00,0.00
08-10-2022,47.23,61.68,HOLD,0.00,0.00,0.00
08-09-2022,45.09,51.80,HOLD,0.00,0.00,0.00
08-08-2022,45.45,53.98,HOLD,0.00,0.00,0.00
08-05-2022,45.41,53.78,HOLD,0.00,0.00,0.00
08-04-2022,44.20,47.34,HOLD,0.00,0.00,0.00
08-03-2022,44.45,48.64,HOLD,0.00,0.00,0.00
08-02-2022,44.26,47.63,HOLD,0.00,0.00,0.00
08-01-2022,45.42,53.63,HOLD,0.00,0.00,0.00
07-29-2022,45.06,51.88,HOLD,0.00,0.00,0.00
07-28-2022,44.50,49.11,HOLD,0.00,0.00,0.00
07-27-2022,44.29,48.07,HOLD,0.00,0.00,0.00
07-26-2022,43.43,43.69,HOLD,0.00,0.00,0.00
07-25-2022,43.85,45.43,HOLD,0.00,0.00,0.00
07-22-2022,43.34,42.86,HOLD,0.00,0.00,0.00
07-21-2022,44.65,48.27,HOLD,0.00,0.00,0.00
07-20-2022,44.17,45.95,HOLD,0.00,0.00,0.00
07-19-2022,44.04,45.33,HOLD,0.00,0.00,0.00
07-18-2022,42.90,39.74,HOLD,0.00,0.00,0.00
07-15-2022,43.46,41.68,HOLD,0.00,0.00,0.00
07-14-2022,42.70,37.85,HOLD,0.00,0.00,0.00
07-13-2022,43.14,39.24,HOLD,0.00,0.00,0.00
07-12-2022,43.05,38.81,HOLD,0.00,0.00,0.00
07-11-2022,42.48,36.18,HOLD,0.00,0.00,0.00
07-08-2022,42.92,37.33,HOLD,0.00,0.00,0.00
07-07-2022,42.94,37.38,HOLD,0.00,0.00,0.00
07-06-2022,42.20,34.35,HOLD,0.00,0.00,0.00
07-05-2022,43.14,36.43,HOLD,0.00,0.00,0.00
07-01-2022,42.74,34.87,HOLD,0.00,0.00,0.00
06-30-2022,46.21,43.45,HOLD,0.00,0.00,0.00
06-29-2022,47.39,47.12,HOLD,0.00,0.00,0.00
06-28-2022,48.94,52.52,HOLD,0.00,0.00,0.00
06-27-2022,50.24,57.67,HOLD,0.00,0.00,0.00
06-24-2022,50.25,57.71,HOLD,0.00,0.00,0.00
06-23-2022,49.04,54.10,HOLD,0.00,0.00,0.00
06-22-2022,48.61,52.76,HOLD,0.00,0.00,0.00
06-21-2022,49.23,54.90,HOLD,0.00,0.00,0.00
06-17-2022,47.59,49.92,HOLD,0.00,0.00,0.00
06-16-2022,45.89,43.98,HOLD,0.00,0.00,0.00
06-15-2022,47.91,50.61,HOLD,0.00,0.00,0.00
06-14-2022,47.35,48.61,HOLD,0.00,0.00,0.00
06-13-2022,47.25,48.27,HOLD,0.00,0.00,0.00
06-10-2022,49.16,54.82,HOLD,0.00,0.00,0.00
06-09-2022,50.35,59.49,HOLD,0.00,0.00,0.00
06-08-2022,50.33,59.44,HOLD,0.00,0.00,0.00
06-07-2022,51.15,62.61,HOLD,0.00,0.00,0.00
06-06-2022,50.04,59.92,HOLD,0.00,0.00,0.00
06-03-2022,51.02,63.68,HOLD,0.00,0.00,0.00
06-02-2022,51.28,64.68,HOLD,0.00,0.00,0.00
06-01-2022,50.67,63.43,HOLD,0.00,0.00,0.00
05-31-2022,49.94,61.93,HOLD,0.00,0.00,0.00
05-27-2022,49.58,61.20,HOLD,0.00,0.00,0.00
05-26-2022,43.93,46.24,HOLD,0.00,0.00,0.00
05-25-2022,43.30,44.00,HOLD,0.00,0.00,0.00
05-24-2022,40.88,34.24,HOLD,0.00,0.00,0.00
05-23-2022,41.22,35.03,HOLD,0.00,0.00,0.00
05-20-2022,40.05,29.82,HOLD,0.00,0.00,0.00
05-19-2022,41.10,31.95,HOLD,0.00,0.00,0.00
05-18-2022,43.31,37.17,HOLD,0.00,0.00,0.00
05-17-2022,46.61,48.02,HOLD,0.00,0.00,0.00
05-16-2022,45.03,40.26,HOLD,0.00,0.00,0.00
05-13-2022,45.09,40.48,HOLD,0.00,0.00,0.00
05-12-2022,43.74,33.08,HOLD,0.00,0.00,0.00
05-11-2022,44.41,35.09,HOLD,0.00,0.00,0.00
05-10-2022,45.50,38.64,HOLD,0.00,0.00,0.00
05-09-2022,45.19,36.95,HOLD,0.00,0.00,0.00
05-06-2022,45.58,38.18,HOLD,0.00,0.00,0.00
05-05-2022,47.26,44.00,HOLD,0.00,0.00,0.00
05-04-2022,48.81,50.62,HOLD,0.00,0.00,0.00
05-03-2022,47.85,45.94,HOLD,0.00,0.00,0.00
05-02-2022,47.50,44.15,HOLD,0.00,0.00,0.00
04-29-2022,47.01,41.64,HOLD,0.00,0.00,0.00
04-28-2022,48.12,45.99,HOLD,0.00,0.00,0.00
04-27-2022,46.55,37.40,HOLD,0.00,0.00,0.00
04-26-2022,46.51,37.16,HOLD,0.00,0.00,0.00
04-25-2022,47.27,39.82,HOLD,0.00,0.00,0.00
04-22-2022,46.87,37.64,HOLD,0.00,0.00,0.00
04-21-2022,48.21,42.41,HOLD,0.00,0.00,0.00
04-20-2022,49.00,45.57,HOLD,0.00,0.00,0.00
04-19-2022,47.99,40.29,HOLD,0.00,0.00,0.00
04-18-2022,47.44,37.20,HOLD,0.00,0.00,0.00
04-14-2022,46.94,34.34,HOLD,0.00,0.00,0.00
04-13-2022,47.31,35.45,HOLD,0.00,0.00,0.00
04-12-2022,47.10,34.33,HOLD,0.00,0.00,0.00
04-11-2022,46.95,33.57,HOLD,0.00,0.00,0.00
04-08-2022,47.39,34.66,HOLD,0.00,0.00,0.00
04-07-2022,47.69,35.40,HOLD,0.00,0.00,0.00
04-06-2022,47.12,32.89,HOLD,0.00,0.00,0.00
04-05-2022,48.66,36.44,HOLD,0.00,0.00,0.00
04-04-2022,49.38,38.23,HOLD,0.00,0.00,0.00
04-01-2022,48.80,35.87,HOLD,0.00,0.00,0.00
03-31-2022,50.19,39.20,HOLD,0.00,0.00,0.00
03-30-2022,54.32,52.67,HOLD,0.00,0.00,0.00
03-29-2022,55.03,55.73,HOLD,0.00,0.00,0.00
03-28-2022,54.30,53.13,HOLD,0.00,0.00,0.00
03-25-2022,54.79,55.15,HOLD,0.00,0.00,0.00
03-24-2022,53.51,50.60,HOLD,0.00,0.00,0.00
03-23-2022,52.60,47.05,HOLD,0.00,0.00,0.00
03-22-2022,52.99,48.44,HOLD,0.00,0.00,0.00
03-21-2022,52.32,45.90,HOLD,0.00,0.00,0.00
03-18-2022,51.83,44.03,HOLD,0.00,0.00,0.00
03-17-2022,50.51,38.73,HOLD,0.00,0.00,0.00
03-16-2022,51.97,42.90,HOLD,0.00,0.00,0.00
03-15-2022,52.08,43.23,HOLD,0.00,0.00,0.00
03-14-2022,50.74,37.90,HOLD,0.00,0.00,0.00
03-11-2022,52.01,41.31,HOLD,0.00,0.00,0.00
03-10-2022,51.97,41.16,HOLD,0.00,0.00,0.00
03-09-2022,51.98,41.18,HOLD,0.00,0.00,0.00
03-08-2022,50.24,34.71,HOLD,0.00,0.00,0.00
03-07-2022,49.33,31.02,HOLD,0.00,0.00,0.00
03-04-2022,51.96,36.56,HOLD,0.00,0.00,0.00
03-03-2022,52.59,38.07,HOLD,0.00,0.00,0.00
03-02-2022,53.60,40.57,HOLD,0.00,0.00,0.00
03-01-2022,49.88,23.37,HOLD,0.00,0.00,0.00
